kind,base,pos,stem,derivation,pansemitic,arabic,arabic_romanization,hebrew,hebrew_romanization,arabic_meaning,hebrew_meaning,proto_root,borrowed_from,evidence_count
lexeme,dar albayṣaʔ,name,,,dar albayṣaʔ,الدَّار الْبَيْضَاء,ad-dār al-bayḍāʔ,קָזַבְּלַנְקָה,kazablánka,"Casablanca (the capital city of the region of Casablanca-Settat, Morocco)","Casablanca (the capital city of the region of Casablanca-Settat, Morocco)",ʔdrlbyḍʔ,,0
lexeme,darak,noun,,qatal,darak,دَرَك,darak,דֶּרֶךְ,dérekh,path one takes to reach a goal,"a road, a path, a way",drk,,0
lexeme,das,noun,,,das,هَدَس,hadas,הֲדַס,haḏás,myrtle (Myrtus gen. et spp.),"myrtle: any of a genus of flowering plants in genus Myrtus, as well as a twig of it",hds,,0
lexeme,dasʔ,noun,,,dasʔ,دِيس,dīs,דֶּשֶׁא,déshe,certain papery plants within the grass order (Poales),a plant of the family Poaceae,dss,,0
lexeme,daul,noun,,,daul,دُول,dūl,דּוֹל,dol,dhole (Cuon alpinus),"dhole (an Asian wild dog, Cuon alpinus)",dl,en:dhole,0
lexeme,dawah,noun,,n,dawah,دَوَاة,dawāh,דְּיוֹ,dyó,"inkstand, inkwell","ink (a pigment (or dye)-based fluid used for writing, printing etc)",dwh,,0
lexeme,dawana,verb,G,G,dawana,دَانَ,dāna,דָּן,dan,to judge,To judge.,dwn,,0
lexeme,dawid,name,,,dawid,دَاوُد,dāwud,דָּוִד,davíd,"a male given name, Daoud, Dawud, or Davoud, equivalent to English David","a male given name, David",dwd,,0
lexeme,dawid,name,,,dawid,دَاوُود,dāwūd,דָּוִד,davíd,"a male given name, Daoud, Dawud, or Davoud, equivalent to English David","a male given name, David",dwd,,0
lexeme,daxawa,verb,G,G,daxawa,دَحَا,daḥā,דָּחָה,dakhá,to push,"to push away, push aside",dḥw,,0
lexeme,dayyān,adj/noun,,qattaːl,dayyān,دَيَّان,dayyān,דַּיָּן,dayán,judge (said of God),"judge, jurist",dyn,,3
lexeme,daʕiš,name,,,daʕiš,دَاعِش,dāʕiš,דָאעֵ״ש,"dá'e""sh","ISIS, ISIL, IS","ISIS, ISIL",,,0
lexeme,dibiq,adj,,n,dibiq,دِبْقِيّ,dibqiyy,דָּבִיק,davík,glial,sticky,dbq,,0
lexeme,dibq,noun,,qitl,dibq,دِبْق,dibq,דֶּבֶק,dévek,"glue, lime",glue,dbq,,0
lexeme,dibš,noun,,,dibš,دِبْس,dibs,דְּבַשׁ,dvash,"syrup, molasses",honey,dbs,,0
lexeme,dihli,name,,,dihli,دِهْلِي,dihlī,דֵלְהִי,delhī,"Delhi (a megacity and union territory of India, containing the national capital New Delhi)","Delhi (a megacity and union territory of India, containing the national capital New Delhi)",dhlh,ur:دِہْلِی,0
lexeme,dikimbir,noun,,,dikimbir,دِيسِمْبِر,dīsimbir,דֵּצֶמְבֶּר,detsémber,December (twelfth month of the Gregorian calendar),"December (the twelfth and last month of the Gregorian calendar, following November and preceding the January of the following year, containing the southern solstice)",dsmbr,la:December,0
